,DIVISION,TYPEHUQ,KOWNRENT,YEARMADERANGE,SQFTEST,KWH,BTUNG,TOTALBTUSPH,KWHCOL,SQM,NormalizedGasKWh,NormalizedElecKWh,NormalizedHeatKWh,NormalizedCoolKWh,YRCONC,Source
53,3,1,1,4,900,8370.64,80851.0,69316.85,2399.7,83.6127,283.3909611936943,100.11206431558841,242.96259475354825,28.700185498136044,1,RECS
54,8,2,1,6,5510,8654.3,153036.94,143109.6,1069.22,511.89553,87.61687964483691,16.906379315326312,81.93326787127836,2.0887465065381603,2,RECS
55,5,2,1,3,1000,9227.24,0.0,2868.77,1202.93,92.903,0.0,99.32122751687243,9.049797021301789,12.948236332518864,1,RECS
56,2,4,2,8,700,4472.09,63933.1,28871.87,882.38,65.0321,288.1182915836948,68.7674240874891,130.11278757367515,13.568376232660485,3,RECS
57,3,2,1,4,3000,12365.78,37549.15,21409.8,1118.86,278.709,39.48407457114769,44.3680684872035,22.513056613887603,4.014437998055319,1,RECS
58,6,4,2,6,750,7836.28,0.0,2782.73,708.41,69.67725,0.0,112.46540298303965,11.704501308963831,10.167020081877514,2,RECS
59,8,2,1,5,1800,5894.3,124061.47,113892.21,429.8,167.2254,217.42402215434976,35.247635825658065,199.60187792590125,2.570183716110112,2,RECS
60,2,3,2,7,770,11449.39,0.0,3960.38,0.0,71.53531,0.0,160.05228746474992,16.22516945799215,0.0,3,RECS
61,4,5,2,8,980,5891.2,136.89,10825.38,0.0,91.04494,0.44064490777851023,64.70650647910801,34.84658172085127,0.0,3,RECS
62,9,2,1,1,2070,8912.72,30079.49,23105.41,3123.22,192.30921,45.839854543575946,46.34577823911813,35.211655302988355,16.240615829059877,0,RECS
63,5,1,1,8,2200,25373.39,0.0,15787.0,4834.27,204.3866,0.0,124.14409750932792,22.6370607319658,23.65257800658165,3,RECS
64,5,1,2,4,600,7195.98,55584.12,54507.15,1074.27,55.7418,292.24197339375485,129.09486238334605,286.5796396537249,19.272251703389557,1,RECS
65,7,2,1,4,2100,38330.12,19376.32,33968.14,15209.72,195.09629999999999,29.106843536858467,196.46769313410866,51.026476452603156,77.96006382489058,1,RECS
66,1,2,1,6,1800,9096.26,0.0,51011.75,2981.52,167.2254,0.0,54.39520551303809,89.40068066364321,17.829348890778554,2,RECS
67,1,2,1,3,1600,4561.67,0.0,59058.98,155.18,148.6448,0.0,30.68839273220456,116.44184207977678,1.0439652110265547,1,RECS
