,DIVISION,YRCONC,SQM,NormalizedGasKWh,NormalizedElecKWh,NormalizedHeatKWh,NormalizedCoolKWh
357,3,0,14121.256,75.43011859957784,68.03374997238207,66.17245144171312,6.383253330936003
358,8,2,16722.54,169.2149087309703,94.23544509386731,261.2118180739888,0.2765349826641168
361,2,3,9847.718,211.69429853931643,261.4669713328509,100.73863082502972,43.75049171960448
363,3,0,585.2889,219.55254761537424,27.74356390493652,216.81956990470863,6.370271607747901
364,7,3,5945.792,17.49275121985431,292.8349999461804,13.409527043832007,142.25659257942425
365,1,1,6131.598,145.46542437729937,317.80328716918496,48.93760575252977,3.1772470494641043
367,7,0,26012.84,94.99070541159675,105.2675909281724,80.26668409416273,24.45915781564028
368,8,3,4552.247,67.2352217463156,86.71168326323242,57.92956354631021,5.105931424634911
369,4,2,2461.9295,52.82190602452263,119.6748322809406,51.68530080979167,58.64909097072032
371,6,2,557.418,79.94733429670374,106.05147304177476,79.94733429670374,20.438071578241104
372,3,2,7432.24,164.26134594617506,195.56230692227376,65.72188863088384,5.933431433995674
373,5,2,3251.605,111.16861028292183,48.06334102696976,111.16861028292183,29.857035403131686
376,8,1,25083.81,147.91670861252737,89.53791310012315,143.42549354308616,2.3440249429412834
379,5,2,5852.889,87.60089867209169,128.9332498873633,81.64122466836464,32.20432175956182
380,6,2,32516.05,49.22993067119162,38.72379947748881,50.71677970466893,4.838809642407365
381,7,3,19045.115,13.953650050577275,313.9595114022677,7.328685066590567,61.3275486537624
384,5,3,11148.36,79.9858991759326,80.96589991711785,73.34106796057897,18.142764625200478
385,2,3,2461.9295,17.871176630362484,101.92737038164577,34.65872137240323,6.524171072323558
387,5,2,24619.295,237.93893316283027,425.4809896059169,150.55676472831576,54.92729219427284
392,9,2,20903.175,32.83458507590355,416.1392707088756,27.70297627915377,13.90775202881859
394,8,2,19045.115,111.73867241851782,260.6992921806983,24.13716334582385,49.81909160412001
395,2,2,10033.524,148.73311101154493,53.693398251701,142.7136249544029,4.323893207610806
398,3,3,2229.672,110.39939322644767,72.01911312515922,109.70590889512,5.15499658649344
401,3,2,25083.81,130.5519333948471,68.78317129654546,114.01363774299041,7.368529521591816
402,4,2,24619.295,349.73519828634414,212.15412545322684,325.4390952178769,34.58629671670128
407,9,3,2276.1235,52.335314256893355,21.628439757333027,52.335314256893355,1.5199979943970527
409,8,1,650.321,83.84993934072558,41.2826896255849,82.72059563815408,5.996427496574769
410,3,0,6224.501,242.65526274588117,28.98240356937849,208.21640066633458,2.2983787559838134
411,3,0,1950.963,13.851510171643442,137.65970958957192,155.4705795558399,22.544812833457122
412,8,1,3483.8625,37.82893409800186,198.32987094065854,13.605205687939753,48.38007474893168
414,2,2,19045.115,87.73123202422248,194.50567770265496,20.428256439144633,13.597858311278246
415,9,1,37161.2,40.731515658482515,52.727280066305724,12.076777262763315,1.5463491328590036
416,6,1,7896.755,3.909911855186086,50.80681875023348,8.02865765760746,7.513382995546905
417,5,3,5109.665,22.815553246054293,63.70026215025838,7.755476794662664,12.2768091831852
418,3,1,16350.928,141.5348095323397,98.50982158321534,83.98610143821807,16.713455133066457
419,9,2,23690.265,133.06567329048454,89.41888155324561,3.430686131117571,12.299269198803815
420,5,0,7803.852,108.99849178533884,151.46840303993463,103.03330976497249,20.974652544666405
423,1,2,26477.355,63.52911973257903,188.62492118264834,61.75112563641648,9.15262064957017
424,8,0,334.4508,35.42080318540126,81.27353858923345,38.00143416311159,19.991346392354274
425,3,1,650.321,346.44578429575546,44.06593051739064,344.8761497721894,0.0
428,5,1,743.224,72.54377128564201,184.20018729212188,82.3659857714498,33.53251738103183
429,7,0,10219.33,10.870205579230735,45.47969387425594,12.921005414542833,16.5271908530207
431,5,3,1858.06,103.14993200273405,105.60477056715068,103.14993200273405,54.57853128854828
432,8,3,8082.561,0.0038797847612903886,82.65214453686153,172.65441044119558,0.0
433,7,3,6781.919,51.84946838527562,135.93379690910493,15.524608294938352,15.389911565738252
434,9,3,7060.628,32.3918420542762,36.09593934137303,24.627355052411772,6.086410435870579
437,6,3,529.5471,5.633989460049919,446.8629891467633,40.8929122999635,52.63352648517951
438,4,1,13006.42,90.24395801112068,79.82719303236402,87.53574133889263,13.329275084919603
439,3,0,5852.889,289.2958554682995,38.53754957594446,281.5214402005574,0.0
440,9,0,42735.38,43.14062769471104,61.3938614796452,43.14062769471104,2.553182223090096
